"show_id","pais_id"
"80242828","29"
"81004223","1"
"80198730","2"
"80999945","45"
"80999945","14"
"81016043","2"
"17672040","29"
"81004162","29"
"81011096","1"
"80188969","1"
"80188969","46"
"80189155","29"
"20254278","29"
"80203742","29"
"80189208","2"
"70276596","1"
"80063025","1"
"70068739","2"
"80158389","32"
"80184974","2"
"80156941","2"
"80178543","29"
"70213196","29"
"70208520","29"
"80061314","29"
"70052492","29"
"70036200","29"
"70018513","30"
"80158480","1"
"80105933","14"
"80139506","1"
"80205314","2"
"80205314","47"
"80133200","27"
"80133200","6"
"80158545","1"
"80158545","23"
"80156939","4"
"80152537","5"
"80152537","19"
"80152537","39"
"80152537","48"
"80152537","1"
"80045673","27"
"80045673","15"
"80045673","6"
"80045673","14"
"70275937","30"
"70275937","1"
"70275937","19"
"70101321","27"
"70108386","1"
"70074559","12"
"80162197","12"
"80184055","5"
"80160358","5"
"60034929","17"
"60034929","32"
"60034929","1"
"80157134","43"
"80141891","5"
"80183897","8"
"80183897","1"
"80177834","43"
"80121855","1"
"80168028","4"
"80200913","6"
"80190990","5"
"80173269","33"
"80106140","43"
"80106137","4"
"80118873","43"
"70229514","6"
"80114155","5"
"70303288","1"
"80118841","1"
"80102579","1"
"80111273","1"
"80097438","20"
"80111710","1"
"80114419","20"
"80118888","5"
"80118888","49"
"80118888","1"
"80128337","1"
"70303289","1"
"80111614","50"
"80111275","40"
"80111275","1"
"80103426","1"
"80118889","1"
"70278877","1"
"80244311","1"
"81183570","21"
"81183570","51"
"80216665","20"
"81016328","26"
"80239503","1"
"81016321","29"
"80031666","4"
"80031666","2"
"80031666","52"
"80995737","1"
"81021976","25"
"81020161","3"
"80025390","2"
"80196216","20"
"80115464","20"
"80113144","45"
"80113144","1"
"80041653","29"
"81016338","5"
"81002592","1"
"80174918","3"
"80170301","5"
"80170301","23"
"80189623","8"
"80215730","1"
"81161487","1"
"81177367","5"
"81177367","8"
"81177367","19"
"81016323","20"
"80198511","1"
"81016318","29"
"80240840","1"
"80191369","27"
"80242081","43"
"80999063","6"
"80999063","14"
"80220650","53"
"80164032","1"
"81158574","1"
"80237905","40"
"81132440","1"
"80117803","3"
"81021243","2"
"81004460","3"
"70105130","2"
"81010662","2"
"80141858","2"
"80203920","20"
"80242051","1"
"80199806","1"
"80084834","1"
"80208273","1"
"80145699","5"
"80145699","2"
"80145699","1"
"80204927","1"
"70266684","1"
"81166978","1"
"81177371","1"
"81167029","1"
"81142594","1"
"70067230","1"
"80207446","14"
"80207446","13"
"80207446","4"
"80207446","1"
"80207447","8"
"80987753","25"
"80987753","1"
"81016324","5"
"80192097","1"
"80192097","20"
"70185045","8"
"80217066","8"
"80217066","1"
"70002129","5"
"70002129","30"
"70002129","8"
"80191963","14"
"80218099","14"
"80218099","13"
"80199767","8"
"80191665","14"
"81148672","1"
"81169914","23"
"81169914","4"
"81211714","1"
"80224362","1"
"80092857","6"
"80244679","1"
"81110394","4"
"80067754","1"
