"show_id","direct_id"
"80184974","256"
"80156941","252"
"80061314","257"
"70052492","258"
"70036200","258"
"70018513","258"
"80158480","259"
"80139506","260"
"80205314","261"
"80158545","262"
"80156939","263"
"80152537","264"
"80045673","264"
"70275937","264"
"70101321","265"
"70108386","266"
"70074559","267"
"80162197","268"
"80184055","269"
"80184055","270"
"80160358","271"
"60034929","272"
"80157134","273"
"80157134","263"
"80141891","274"
"80183897","275"
"80177834","276"
"80121855","277"
"80190990","274"
"80173269","278"
"80106137","279"
"80114155","280"
"80118841","281"
"80102579","282"
"80097438","283"
"80114419","284"
"80103426","285"
"70278877","286"
"80244311","287"
"81183570","288"
"81016328","289"
"80239503","290"
"81016321","291"
"80031666","292"
"80995737","293"
"81020161","294"
"80025390","295"
"80196216","296"
"80091741","98"
"80115464","297"
"80041653","298"
"81016338","299"
"81002592","300"
"81017724","301"
"80170301","302"
"80189623","303"
"81177367","304"
"81016323","291"
"81016318","163"
"80242081","305"
"80168222","306"
"80237905","307"
"81021243","308"
"81021243","309"
"81004460","310"
"81016330","163"
"70105130","311"
"80141858","312"
"81084225","313"
"80203920","314"
"80199806","315"
"80084834","316"
"80208273","317"
"80145699","318"
"70266684","319"
"81166978","320"
"81177371","321"
"70067230","322"
"80207446","323"
"80207446","324"
"80207447","325"
"81016324","163"
"80192097","326"
"70185045","327"
"70002129","328"
"80191963","329"
"80218099","330"
"80199767","331"
"80191665","332"
"80161921","333"
"81148672","334"
"80092857","335"
"81110394","336"
"80067754","337"
"80189954","335"
"80094648","338"
"80066073","339"
"80123740","340"
"80123741","341"
"80123742","342"
"81000863","343"
"81000863","344"
"70082255","345"
"80117454","346"
"80095197","347"
"80045783","348"
"81123469","349"
"80211622","350"
"80990221","351"
"80202352","352"
"80241061","353"
"81025088","354"
"80173479","355"
"80081372","356"
"81136744","357"
"80182014","358"
"81078456","359"
"81121023","360"
"81018455","361"
"81110383","362"
"81018183","363"
"80219941","364"
"80219941","365"
"80064515","366"
"80062011","367"
"80062011","368"
"80062011","369"
"80062011","370"
"80062011","371"
"80062011","372"
"80062011","373"
"80062011","374"
"80062011","375"
"80062011","376"
"80062011","222"
"80062011","377"
"80062011","378"
"81034741","379"
"81075461","380"
"81075461","381"
"80205231","382"
"80158919","383"
"70299286","384"
"70299286","385"
"80017261","386"
"80186796","387"
"81071891","388"
"80224536","389"
"80994444","390"
"80017286","391"
"70295169","392"
"80039050","393"
"81027753","394"
"15815343","395"
"70295176","396"
"80131240","397"
"80131240","398"
"70170182","399"
"70082633","400"
"70049619","401"
"80211135","402"
"70109884","403"
"70176967","404"
"70198040","405"
"80038442","406"
"80091310","407"
"70114484","163"
"80117443","408"
"80010717","409"
"81020005","410"
"81020005","411"
"81035748","412"
"80135164","361"
"70167128","413"
"80118101","414"
"80118101","415"
"80113669","416"
"81094801","417"
"81191195","418"
"80218973","390"
"80235999","419"
"80235999","420"
"80215419","408"
"70118860","421"
"80017240","419"
"70118859","421"
"80236778","422"
"80236778","423"
"80236470","424"
"80236470","425"
"699257","426"
"80236574","423"
"80988048","427"
"80039069","428"
"80046779","429"
"80995687","430"
"60001650","431"
"81172848","432"
"81034575","433"
"80226951","434"
"80232279","435"
"80239666","436"
"81011973","437"
"80144152","438"
"81035749","412"
"81035750","412"
"81035751","412"
"80148162","439"
"80171705","440"
"81172729","441"
"81172895","442"
"81172905","443"
"81172723","444"
"81172909","445"
"80214706","446"
"80994011","447"
"81172902","444"
"80998890","448"
"81047903","449"
"81026343","450"
"80208635","451"
"70125931","452"
"70235768","453"
"80177406","109"
"81081656","454"
"81187847","455"
"81053240","456"
"81157840","457"
"80244900","458"
"80211134","459"
"70271601","460"
"80204433","461"
"80089199","462"
"80043049","463"
"80044545","464"
"80070182","465"
"80070182","466"
"80992769","467"
"81191228","468"
"81025935","469"
"81020508","27"
"80201824","470"
"80203782","471"
"80201829","472"
"80126016","473"
"80202089","474"
"80203789","475"
"80201825","476"
"80202376","477"
"80028360","478"
"80203783","479"
"80142617","480"
"80201823","481"
"80190841","482"
"80115858","483"
"80158547","484"
"80206827","485"
"80202090","486"
"80203790","487"
"80158391","488"
"80201822","489"
"80211540","490"
"80123743","491"
"70258995","253"
"70208801","492"
"70260383","492"
"80123744","493"
"70105699","494"
"70124999","494"
"80187205","495"
"80097472","496"
"80075009","497"
"70280748","297"
"81034012","498"
"81019031","499"
"80148070","500"
"80183198","501"
"80158844","502"
"80164456","503"
"80174434","391"
"80075476","504"
"80158148","505"
"80239565","506"
"80216844","507"
"80187722","508"
"81021082","61"
"80191047","509"
"80240972","510"
"80103282","511"
"80134526","512"
"80127559","225"
