"show_id","tema_id"
"81144925","32"
"81144925","20"
"80987075","2"
"80192815","1"
"80136785","6"
"80136785","22"
"80135278","6"
"80135278","22"
"80136452","6"
"80136452","22"
"80066798","18"
"80066798","26"
"81147293","19"
"81147293","16"
"70178604","11"
"70178604","12"
"80991316","13"
"80190588","18"
"80190588","26"
"70124316","13"
"70124316","8"
"70229037","3"
"80219119","4"
"80219119","21"
"80037280","19"
"80037280","16"
"80165072","25"
"80165072","5"
"80165072","11"
"80058248","13"
"80058248","14"
"70307661","19"
"70307661","10"
"70117312","13"
"70117312","2"
"70117312","15"
"80092885","8"
"80092885","9"
"80092885","10"
"80108371","3"
"70129452","36"
"80045805","18"
"80101827","18"
"70251519","11"
"81174992","33"
"81174992","4"
"81044365","5"
"81044365","11"
"81030342","18"
"81030342","8"
"81030342","26"
"70143865","27"
"70054723","18"
"81069393","11"
"80012550","11"
"81131761","36"
"81176196","27"
"70143831","11"
"70143831","12"
"81003648","5"
"81003648","6"
"81003648","22"
"81016326","2"
"81016326","14"
"81016326","8"
"80241102","25"
"80241102","6"
"80241102","27"
"80227777","14"
"80227777","8"
"81018233","14"
"81018233","8"
"81018233","17"
"81016317","14"
"81016317","8"
"81016317","17"
"81016337","14"
"81016337","8"
"80241103","25"
"80241103","6"
"80241103","27"
"80240816","25"
"80240816","11"
"80240816","6"
"81018241","18"
"81018237","14"
"81018237","8"
"81018238","14"
"81018238","8"
"81016339","19"
"81016339","8"
"80067522","14"
"80192149","14"
"80192149","8"
"80142637","2"
"80142637","14"
"80142637","8"
"80192014","13"
"80192015","13"
"80192015","16"
"80168230","18"
"80202129","25"
"80202129","5"
"80202129","22"
"80088910","2"
"70290909","18"
"70290909","26"
"80126566","11"
"80126566","6"
"80033772","18"
"81093951","2"
"81093951","8"
"81093951","26"
"80238013","18"
"80238013","8"
"81089941","14"
"81089941","10"
"81000011","14"
"81000011","8"
"80243899","6"
"80243899","20"
"80243899","22"
"80217733","13"
"80217733","8"
"80217733","9"
"80220035","11"
"80220035","6"
"80220035","7"
"80194704","27"
"80225949","37"
"80225949","21"
"80999985","19"
"80999985","8"
"81002336","4"
"80188120","14"
"80188120","8"
"80188120","10"
"80164779","2"
"80164779","14"
"80164779","16"
"80993613","6"
"80993613","20"
"80993613","28"
"81092328","14"
"81183572","10"
"81037283","19"
"81037283","16"
"80244973","18"
"81095103","33"
"81095103","6"
"81095103","35"
"80217779","6"
"80217779","22"
"80217779","35"
"80211572","6"
"80211572","7"
"80211572","22"
"81161230","14"
"81161230","8"
"81161230","17"
"81002412","1"
"81002412","2"
"81002412","17"
"81023636","13"
"81023636","9"
"80217669","25"
"80217669","5"
"80217669","6"
"80153467","5"
"80153467","22"
"80192834","18"
"80198046","18"
"80106307","18"
"80993062","28"
"80993062","22"
"80993062","38"
"81098586","11"
"81098586","12"
"70267728","1"
"70267728","2"
"81011508","6"
"81011508","32"
"81011508","22"
"81001000","14"
"81001000","8"
"80192445","18"
"80158670","3"
"80223685","37"
